accel_rms_mean,accel_rms_std,accel_delta,accel_roc,velocity_rms_z,peak_to_rms_ratio,motor_temp_delta,humidity_trend,load_pct,load_variance,multivariate_score
35.43,10.03,-5.91,-3.23,-1.266,1.84,11.0,-0.356,0.282,16.9,0.362
33.23,5.06,-1.62,-3.92,0.985,1.27,8.8,-0.117,0.395,35.9,0.125
31.53,4.17,-2.01,1.94,-0.99,2.41,8.0,-0.465,0.526,40.1,0.133
35.71,7.82,-7.29,0.71,-0.91,2.45,16.7,-0.49,0.422,32.2,0.061
27.74,5.47,-3.33,2.98,1.397,1.23,14.2,0.115,0.122,38.9,0.062
31.29,4.33,-7.82,0.41,-0.358,1.25,15.2,0.385,0.574,27.3,0.115
27.03,13.46,-3.68,4.22,0.82,2.17,20.8,0.499,0.139,12.5,0.333
36.43,8.65,-9.87,-2.43,-0.765,1.27,24.6,0.325,0.658,18.2,0.325
35.81,4.65,-7.12,1.48,-1.454,1.65,9.3,0.088,0.654,11.4,0.306
36.15,12.18,1.67,-1.95,0.97,2.24,14.5,-0.32,0.544,14.4,0.114
33.2,6.98,-8.11,4.23,-0.089,1.3,14.3,0.318,0.626,6.1,0.39
28.12,15.18,6.54,-1.41,0.12,1.35,5.7,-0.394,0.51,10.0,0.384
32.16,14.82,-8.18,3.05,0.121,1.73,20.1,-0.214,0.535,29.1,0.195
31.58,8.01,7.58,4.81,0.523,1.36,14.3,0.499,0.776,27.5,0.144
31.35,2.44,4.98,-0.62,0.472,2.47,24.5,-0.39,0.076,18.1,0.346
28.1,8.14,-9.13,-0.96,0.711,2.19,23.7,0.269,0.804,14.1,0.263
34.09,3.88,-6.05,-1.74,-0.809,1.9,15.2,-0.23,0.806,6.8,0.105
29.03,15.42,-1.8,-2.26,-0.938,2.13,5.2,-0.434,0.183,38.5,0.222
36.18,4.16,-9.71,4.03,-1.496,1.47,9.4,-0.439,0.065,28.4,0.137
29.71,11.96,-1.93,-2.61,-1.166,1.21,15.3,0.072,0.673,50.0,0.092
27.98,13.12,-9.54,4.55,1.051,1.7,20.1,0.128,0.706,11.2,0.223
36.13,12.34,1.64,0.32,0.82,2.14,19.8,0.118,0.361,29.4,0.307
29.8,15.75,9.02,4.43,1.1,1.91,14.6,-0.242,0.246,7.3,0.372
34.96,15.52,0.3,1.84,-0.753,1.35,6.9,0.335,0.812,8.7,0.084
35.62,6.51,3.24,0.55,-0.392,1.54,15.0,0.259,0.82,18.9,0.39
28.69,5.7,6.96,-4.88,-0.411,1.62,9.8,-0.087,0.074,19.5,0.38
32.87,5.57,1.64,2.04,1.09,1.76,8.0,-0.446,0.097,11.2,0.358
34.01,13.28,4.13,0.39,-1.225,1.86,23.4,0.153,0.461,31.8,0.318
36.48,4.18,7.81,-3.59,0.093,1.85,6.4,-0.238,0.31,11.1,0.13
35.93,10.9,-6.15,-1.88,1.353,1.49,24.9,-0.483,0.286,12.2,0.083
34.52,15.22,1.03,-1.68,0.147,2.09,23.8,0.128,0.679,48.9,0.171
26.98,11.29,7.85,-3.86,-1.405,1.8,8.5,-0.445,0.391,6.1,0.08
32.42,9.32,-0.83,-4.7,0.67,2.17,8.5,0.484,0.152,38.1,0.374
31.08,6.96,-7.5,1.55,-0.707,1.89,12.5,-0.002,0.394,38.8,0.129
34.95,14.4,8.27,2.54,-0.564,2.14,24.4,-0.195,0.192,11.5,0.204
36.68,13.87,-4.0,3.25,-1.425,2.01,11.7,-0.493,0.449,38.5,0.269
28.86,12.21,-0.16,-3.51,-0.795,1.93,13.4,-0.009,0.378,12.6,0.379
34.38,12.45,-7.48,-0.41,1.358,1.71,24.7,0.009,0.728,36.7,0.186
30.32,11.75,-2.0,-3.47,-1.11,2.48,24.1,0.121,0.404,49.9,0.348
31.23,13.92,-4.61,1.24,-0.08,2.28,18.2,0.078,0.561,21.3,0.063
36.56,3.62,0.21,0.01,-0.05,1.59,7.9,-0.265,0.741,41.5,0.158
29.88,7.9,4.78,-1.22,-1.043,1.34,6.7,0.291,0.396,16.4,0.308
30.38,7.04,1.5,-3.28,1.41,2.06,10.5,-0.217,0.705,39.5,0.085
33.92,8.92,-6.09,0.5,0.094,1.8,5.1,0.169,0.237,15.1,0.287
34.7,9.02,7.28,3.06,0.672,1.89,10.5,0.301,0.479,49.7,0.192
35.48,2.37,6.93,3.17,1.479,1.44,8.2,0.378,0.299,34.5,0.148
34.84,4.69,7.26,-3.82,-0.296,1.6,19.9,0.028,0.053,47.6,0.224
27.82,12.19,7.45,-1.15,1.462,1.46,6.2,0.199,0.134,25.1,0.34
33.05,14.7,-9.01,-4.11,-0.672,2.42,9.2,0.419,0.43,10.3,0.087
33.72,12.43,1.79,-0.33,0.457,1.74,20.6,-0.395,0.554,22.5,0.375
34.42,15.08,3.67,1.17,0.754,1.27,15.1,-0.401,0.568,43.0,0.273
35.03,6.65,-2.71,-4.91,-1.139,1.47,13.8,-0.277,0.474,36.8,0.058
36.05,9.82,3.52,3.37,0.068,1.2,7.8,-0.032,0.658,37.2,0.214
36.28,3.58,-9.45,1.9,-1.167,2.0,24.5,-0.345,0.765,35.5,0.358
32.7,15.74,-4.97,-0.1,-1.138,1.46,11.8,-0.273,0.408,23.9,0.352
35.82,2.22,5.97,0.47,0.521,2.13,12.3,-0.148,0.744,27.5,0.055
33.34,11.35,-4.14,2.98,-1.095,2.34,24.3,-0.338,0.709,22.6,0.063
36.76,10.43,5.27,0.51,1.041,1.54,18.3,-0.48,0.691,35.7,0.175
31.2,11.64,-5.08,3.5,1.243,1.67,20.0,0.377,0.164,19.5,0.308
35.21,14.46,6.47,-1.12,-1.487,2.41,9.4,-0.136,0.833,48.0,0.277
34.5,14.44,-6.87,3.49,0.608,2.1,17.4,0.366,0.512,18.0,0.349
31.86,5.16,-9.8,4.13,0.716,1.98,21.2,0.314,0.303,15.3,0.102
30.51,3.1,-0.47,-1.35,0.923,1.92,12.8,-0.209,0.62,16.0,0.284
36.19,14.02,-5.35,0.5,-1.22,1.62,21.4,0.38,0.271,27.4,0.141
36.77,8.89,6.41,0.85,-0.227,2.45,11.4,-0.253,0.32,38.5,0.37
27.94,9.65,-8.47,-0.51,-0.022,2.25,7.7,0.092,0.662,27.4,0.084
30.46,4.26,7.08,1.39,0.787,2.26,14.2,-0.273,0.357,11.9,0.325
31.19,12.3,9.82,2.72,-0.231,1.8,7.8,-0.142,0.403,6.2,0.121
35.1,8.52,-2.77,3.06,0.764,1.82,24.9,0.253,0.435,37.5,0.126
31.7,6.36,-5.43,-4.84,-0.943,1.77,21.4,0.341,0.453,19.6,0.211
28.65,2.81,1.25,-1.68,0.812,1.71,15.6,0.481,0.765,13.4,0.231
29.84,2.75,-1.67,-2.49,-1.469,2.05,12.5,-0.293,0.433,8.0,0.342
28.9,6.79,4.53,4.67,-0.297,1.74,7.8,0.104,0.224,28.8,0.303
35.2,10.5,-1.87,1.72,-1.409,1.54,23.4,0.023,0.365,35.6,0.112
33.78,12.89,5.55,-2.4,-0.459,1.23,15.5,0.334,0.668,26.3,0.252
34.26,15.33,-3.45,3.54,-0.213,1.53,5.2,-0.308,0.575,19.5,0.208
34.21,9.02,7.64,-0.0,-0.483,1.53,13.7,-0.423,0.614,6.2,0.341
32.11,4.15,-6.38,-2.9,-0.293,2.29,14.1,-0.294,0.098,12.9,0.38
28.32,3.55,5.23,3.36,0.99,2.05,14.8,0.107,0.825,9.8,0.108
34.64,4.3,7.66,-1.28,-0.633,2.29,13.1,0.053,0.076,12.9,0.086
31.09,10.11,-5.85,3.56,-0.962,1.24,8.6,-0.087,0.819,30.6,0.242
27.8,15.64,-4.68,1.79,-0.694,2.28,6.2,0.046,0.745,25.3,0.359
34.44,14.84,6.12,-4.2,1.272,1.78,20.6,0.388,0.598,47.4,0.152
28.83,4.67,6.7,-3.16,1.25,1.69,9.5,-0.387,0.697,12.2,0.148
31.28,15.63,8.32,-4.95,-0.833,1.93,19.8,0.256,0.31,7.7,0.358
33.01,10.58,9.73,-1.75,0.597,1.48,17.1,-0.373,0.611,49.6,0.223
32.26,3.32,7.9,-3.82,-0.337,1.65,6.0,0.475,0.501,24.3,0.094
31.16,7.92,-2.1,-1.69,-0.985,2.32,16.1,-0.196,0.832,31.5,0.143
34.34,10.22,-9.53,2.23,0.017,1.91,11.0,-0.497,0.649,49.7,0.314
35.32,2.42,-9.11,-4.9,0.645,1.33,24.2,0.344,0.526,12.5,0.32
35.9,12.84,8.89,3.82,-0.785,1.24,10.2,0.072,0.078,15.1,0.365
30.34,4.78,-5.87,-4.93,-0.997,1.66,5.8,0.31,0.775,41.2,0.17
36.59,3.69,7.69,-2.74,-0.487,1.63,19.4,0.397,0.231,23.2,0.227
32.4,9.86,3.9,-2.92,-0.919,2.21,8.9,-0.338,0.73,22.7,0.107
31.12,2.22,0.75,-1.53,0.74,1.9,17.9,-0.378,0.715,40.5,0.313
27.76,14.27,-8.85,2.8,0.754,1.71,23.2,0.112,0.542,47.8,0.091
29.29,8.98,-6.04,-0.19,-0.573,1.68,8.2,0.406,0.357,31.8,0.353
33.27,9.94,8.03,-1.58,1.458,1.33,7.6,-0.104,0.111,15.3,0.219
29.18,7.66,8.88,3.55,-0.678,1.61,18.4,0.009,0.784,16.3,0.086
35.92,11.81,7.81,-0.74,-0.154,2.2,5.5,0.071,0.177,38.4,0.237
29.55,14.2,-4.59,-3.09,0.615,1.28,18.8,0.36,0.334,19.3,0.145
34.06,4.05,1.64,-3.95,-0.787,2.29,15.3,-0.058,0.784,25.7,0.099
31.53,15.57,-2.51,2.41,1.08,1.4,6.9,0.045,0.617,16.4,0.329
30.08,14.99,5.82,0.91,0.708,2.46,11.1,0.043,0.444,24.4,0.272
35.16,4.86,-5.82,-2.66,-0.99,1.97,16.2,-0.146,0.336,32.8,0.07
30.27,12.02,3.31,4.6,-0.675,2.35,11.7,0.003,0.678,38.1,0.236
35.16,9.6,9.45,-1.79,-0.188,2.23,7.7,0.289,0.064,27.9,0.189
28.12,10.2,-6.63,-1.95,-0.85,2.21,22.5,0.237,0.114,31.4,0.109
28.46,4.66,-2.99,2.55,0.1,1.66,20.9,0.434,0.375,39.1,0.396
31.34,9.75,-6.23,2.6,1.142,2.04,6.8,0.446,0.684,16.1,0.146
29.75,10.04,1.88,2.88,0.316,2.05,12.9,0.331,0.405,11.0,0.189
29.49,13.6,-3.15,3.39,1.389,1.67,8.9,-0.433,0.719,34.1,0.057
29.19,3.16,4.75,-4.16,-0.841,1.68,9.0,0.119,0.158,18.4,0.212
27.74,10.3,-2.35,-4.94,-1.36,2.45,23.6,-0.356,0.439,6.7,0.19
30.88,14.88,4.97,3.31,-1.335,2.47,22.4,-0.109,0.225,28.7,0.379
26.98,10.03,-5.43,-3.27,-0.686,1.32,21.5,0.159,0.736,35.3,0.122
35.55,4.86,-1.79,-4.88,1.311,2.0,10.7,-0.407,0.398,11.2,0.12
27.87,6.95,8.0,-2.12,1.246,1.46,8.6,-0.03,0.766,28.6,0.217
31.08,14.81,-9.37,3.59,-0.875,1.53,10.8,0.124,0.086,17.5,0.2
27.57,6.65,-3.2,0.12,-0.176,2.5,21.7,-0.006,0.542,13.5,0.155
28.71,14.31,-4.26,-2.81,-0.577,2.2,6.6,-0.004,0.225,20.5,0.323
34.84,9.05,-2.23,-2.44,0.211,2.5,8.3,0.374,0.668,21.6,0.129
35.3,4.02,1.19,-4.59,0.565,1.42,15.3,0.234,0.263,34.4,0.393
26.91,6.81,0.02,-1.63,1.157,1.83,23.9,-0.326,0.363,17.5,0.162
32.78,2.35,5.96,0.82,-0.839,1.89,10.2,-0.073,0.294,43.1,0.272
34.25,6.18,-0.89,4.56,0.068,1.56,14.1,-0.104,0.35,29.4,0.208
33.4,13.95,7.57,-2.44,-0.258,1.81,18.6,-0.112,0.237,29.9,0.333
36.53,3.05,3.18,3.82,-1.239,1.68,15.4,0.109,0.077,7.7,0.208
36.13,4.43,6.86,-4.89,0.051,1.63,19.0,0.15,0.72,22.3,0.152
29.25,7.82,7.65,-4.67,1.198,1.5,10.0,-0.233,0.39,27.9,0.124
30.85,11.03,3.32,-4.78,-0.286,2.11,22.8,-0.38,0.796,13.2,0.114
30.99,13.98,8.22,1.42,0.828,2.0,20.4,-0.048,0.568,24.4,0.126
34.49,11.47,6.17,-4.53,-0.088,1.47,13.3,-0.195,0.701,36.3,0.293
35.58,9.09,-0.37,-1.0,0.726,1.61,24.9,-0.177,0.068,35.2,0.156
28.27,13.57,3.89,-4.41,0.444,1.93,20.3,0.265,0.486,23.1,0.303
27.19,7.53,-6.26,-4.39,-1.291,2.19,16.6,0.462,0.767,5.7,0.117
34.99,10.16,5.33,0.09,0.347,2.07,16.3,0.037,0.178,10.4,0.104
33.92,15.47,5.39,2.73,-0.8,1.32,19.8,0.422,0.477,42.0,0.158
29.52,7.73,-4.16,-4.7,0.654,1.97,18.7,0.165,0.828,8.9,0.32
36.47,6.31,9.79,1.02,-1.442,1.57,20.5,0.11,0.385,6.2,0.183
28.69,10.65,6.39,-0.61,-1.494,1.54,17.1,-0.338,0.849,15.4,0.369
34.32,5.97,5.73,3.12,0.592,2.22,18.9,0.322,0.11,37.6,0.089
31.61,14.01,-9.89,1.34,1.362,1.55,9.4,-0.386,0.756,28.7,0.352
34.49,14.86,-7.94,1.5,-0.742,2.2,23.4,0.158,0.771,34.4,0.083
26.91,15.11,5.49,-3.86,-1.337,1.98,8.1,0.131,0.084,44.6,0.121
32.03,9.58,0.35,3.98,1.383,1.29,8.2,-0.35,0.182,47.6,0.243
33.41,12.78,6.66,3.42,-0.521,2.43,18.2,-0.481,0.168,27.8,0.253
30.29,9.94,2.83,-0.33,-0.673,1.3,15.8,-0.077,0.524,10.1,0.26
35.85,14.0,-6.57,-0.28,-0.324,1.22,5.7,-0.367,0.063,33.1,0.21
33.26,13.25,9.89,-0.79,0.518,2.35,10.6,-0.282,0.692,22.2,0.278
33.32,6.74,0.44,3.21,-0.046,1.21,8.6,0.236,0.286,34.8,0.28
29.89,11.22,-2.52,-0.92,-1.444,1.32,23.5,0.457,0.417,16.2,0.114
36.0,10.01,-1.9,3.16,0.613,1.52,12.5,0.261,0.051,46.3,0.153
30.66,3.97,5.3,1.9,-1.374,1.66,19.0,-0.075,0.451,8.6,0.236
31.3,7.2,8.83,1.8,1.413,2.34,21.5,-0.228,0.752,28.0,0.101
30.43,12.04,-0.96,-0.02,0.053,1.56,19.2,-0.089,0.849,48.2,0.131
27.29,7.7,-0.73,2.75,1.41,1.73,16.7,-0.371,0.515,30.5,0.22
36.02,14.4,8.1,-3.65,-1.349,1.53,17.1,-0.113,0.183,23.5,0.267
27.02,7.89,-8.55,-0.46,1.294,1.96,8.5,0.393,0.352,49.3,0.368
36.39,11.22,-6.91,4.15,0.31,2.44,16.0,-0.285,0.651,38.1,0.353
30.91,9.25,4.2,-0.49,-0.938,2.39,13.7,-0.199,0.248,28.6,0.067
36.39,13.29,7.9,3.13,-1.213,1.46,15.6,-0.31,0.662,8.8,0.397
30.94,2.53,7.94,-2.1,-1.351,2.47,19.0,0.43,0.167,32.8,0.311
27.59,13.09,4.82,1.61,1.059,2.33,19.6,0.064,0.224,10.3,0.121
35.03,8.98,-6.95,1.36,0.131,1.37,16.8,0.04,0.566,42.5,0.184
28.52,13.0,8.8,-3.65,1.226,1.63,24.4,0.149,0.094,13.2,0.168
29.24,10.01,-0.31,-0.73,0.326,2.24,17.4,-0.239,0.775,23.0,0.37
32.6,15.64,5.54,4.21,1.437,1.24,24.8,-0.13,0.477,44.6,0.08
33.51,5.53,8.7,-0.51,-0.275,1.33,15.5,0.072,0.833,11.9,0.318
36.07,11.01,5.42,3.5,-1.48,1.52,23.8,-0.009,0.146,12.4,0.129
27.65,4.81,3.21,-1.84,-0.286,1.22,14.9,-0.004,0.564,8.3,0.397
30.42,5.25,-8.28,0.76,0.49,2.46,7.9,-0.166,0.548,42.6,0.259
27.63,4.87,-0.31,-2.9,-1.379,1.59,8.7,-0.206,0.847,17.4,0.207
32.42,2.13,-4.58,-0.69,-0.168,2.45,13.3,-0.371,0.23,49.4,0.373
35.77,11.7,-0.59,-1.79,0.832,1.99,20.7,0.13,0.832,36.0,0.349
36.68,3.37,3.9,4.61,-1.001,1.9,11.9,-0.232,0.357,48.7,0.063
35.07,9.85,-2.92,-4.99,-0.461,2.16,19.6,0.308,0.307,42.6,0.141
34.11,10.69,3.38,-2.51,0.499,2.4,5.9,-0.008,0.428,7.3,0.054
29.39,13.6,-9.75,-1.89,1.178,1.35,10.5,-0.482,0.659,32.2,0.326
32.39,4.59,6.09,-4.76,-0.873,1.7,20.4,0.267,0.641,6.8,0.23
36.08,9.66,-2.01,4.49,0.385,2.1,5.4,-0.055,0.482,11.8,0.163
33.01,6.8,9.42,-1.18,0.576,2.12,9.1,-0.296,0.239,37.4,0.096
27.49,4.76,9.71,-2.0,1.05,1.85,15.1,-0.447,0.665,24.4,0.065
34.13,10.5,-0.34,4.69,0.29,1.25,18.6,-0.383,0.609,9.2,0.344
35.16,10.84,9.58,3.66,-1.263,1.46,22.1,-0.355,0.362,9.5,0.167
29.69,6.81,-9.06,-3.37,-0.302,1.44,7.4,0.094,0.373,18.3,0.209
33.77,15.8,-7.07,-1.86,0.302,1.81,5.1,-0.023,0.268,37.0,0.154
34.2,15.39,-8.87,0.32,1.175,2.2,23.4,0.395,0.114,38.8,0.151
34.4,13.52,1.45,2.29,0.23,1.75,20.9,0.304,0.848,11.0,0.193
29.42,11.86,1.52,4.23,-0.41,2.47,7.8,-0.116,0.642,18.6,0.095
31.8,9.82,-1.03,-2.84,-0.335,1.72,11.6,0.313,0.365,6.9,0.189
31.28,2.25,-9.12,2.31,1.161,1.31,17.7,-0.234,0.056,29.5,0.092
35.54,10.25,1.85,4.88,-1.324,2.16,17.8,-0.357,0.158,32.4,0.169
33.83,12.75,-0.8,-1.29,-0.098,1.98,9.6,-0.388,0.569,13.4,0.187
27.44,12.05,-1.39,-3.67,1.401,1.65,21.3,-0.007,0.286,19.5,0.334
36.76,10.3,-7.26,-1.81,0.741,2.45,10.6,-0.215,0.314,28.1,0.094
27.11,9.9,4.37,0.95,-0.456,1.66,9.2,0.386,0.726,39.3,0.189
31.01,14.13,1.94,1.86,-1.052,1.84,14.9,-0.185,0.376,5.5,0.389
31.03,13.35,6.81,-1.9,-0.231,1.78,10.9,0.364,0.173,24.0,0.373
27.11,4.85,6.0,-4.37,0.012,1.24,12.5,-0.301,0.053,24.9,0.288
33.29,3.38,-0.06,-4.06,-0.23,1.65,13.8,-0.438,0.153,16.5,0.076
29.4,6.65,-1.15,-2.35,0.629,2.46,19.6,-0.135,0.128,41.5,0.293
36.82,8.6,-8.91,2.23,-1.131,2.41,6.6,0.143,0.47,30.9,0.189
36.59,15.1,6.95,-0.95,-0.856,1.63,22.7,0.054,0.206,19.5,0.263
29.59,11.41,-0.8,0.47,-1.479,2.09,6.0,-0.314,0.244,38.6,0.217
31.69,12.25,0.84,-2.56,-1.482,2.04,16.3,-0.336,0.533,24.5,0.135
28.85,13.45,3.8,1.04,-0.063,2.22,7.7,0.066,0.738,18.0,0.064
35.64,14.89,-3.56,2.63,0.946,2.42,22.9,-0.04,0.544,31.7,0.115
28.61,8.69,-5.26,4.33,-1.022,2.14,22.3,0.152,0.087,15.7,0.114
32.71,5.61,9.83,-4.35,0.351,1.5,21.0,0.016,0.285,14.6,0.154
33.55,10.5,0.51,3.89,-1.473,2.07,11.6,-0.179,0.117,42.9,0.292
28.22,7.52,8.3,-0.57,-0.191,2.1,17.4,-0.298,0.818,10.6,0.051
35.28,13.05,9.69,-2.87,-1.036,2.21,13.6,0.125,0.673,46.1,0.222
31.63,5.15,8.78,-0.86,0.678,2.11,5.7,-0.102,0.793,37.9,0.06
34.98,2.18,1.17,-4.48,-0.365,1.24,17.3,-0.331,0.453,18.7,0.271
27.81,13.54,2.81,2.91,-0.607,1.27,23.0,-0.23,0.59,44.1,0.216
34.55,9.14,-1.44,-0.8,-0.386,2.4,21.8,-0.07,0.178,42.9,0.136
31.01,13.28,3.25,-1.43,1.041,2.25,13.1,0.455,0.26,23.5,0.075
32.7,5.83,1.9,1.46,-0.873,1.88,9.4,0.087,0.666,35.6,0.312
35.35,11.94,6.84,0.98,-1.268,1.98,19.1,-0.073,0.521,32.9,0.16
30.1,14.14,1.94,3.0,-0.877,2.27,20.5,-0.063,0.223,10.9,0.128
32.87,14.5,-7.97,-3.99,0.656,1.96,23.7,0.034,0.571,34.7,0.369
30.26,6.12,8.66,-2.72,-1.451,2.11,8.6,-0.05,0.643,49.4,0.356
28.34,4.81,1.83,0.31,1.246,2.42,11.0,0.327,0.793,12.3,0.189
31.58,9.11,-0.17,3.47,0.823,1.88,23.2,-0.371,0.41,33.9,0.277
27.55,11.24,9.45,-2.1,-0.336,1.26,19.0,0.487,0.21,37.6,0.251
30.67,6.37,4.95,0.75,0.109,2.33,10.4,-0.475,0.594,28.2,0.29
33.2,9.99,5.94,-3.07,0.535,1.51,5.1,0.121,0.785,11.9,0.188
28.16,13.76,-8.81,3.8,-0.248,1.7,7.6,-0.401,0.308,45.5,0.306
33.81,7.76,-4.44,-0.01,1.28,2.43,11.4,0.252,0.337,27.2,0.085
36.63,5.66,-1.38,-4.94,-1.343,1.88,11.8,0.287,0.382,28.9,0.096
33.81,7.08,-1.71,-1.47,-0.525,1.4,22.8,0.362,0.258,39.6,0.256
31.7,6.23,-7.13,3.48,-0.895,1.89,23.2,0.498,0.064,39.9,0.343
35.18,14.15,4.6,-0.47,1.375,1.73,5.9,0.122,0.698,17.1,0.371
32.1,7.83,-6.53,2.97,-0.502,1.26,17.2,0.035,0.074,32.4,0.355
34.44,5.08,3.36,-4.88,0.81,2.03,21.5,-0.024,0.438,43.0,0.337
32.73,8.88,6.81,-1.63,-1.041,1.55,9.2,-0.111,0.266,5.6,0.161
27.4,4.97,5.07,-1.22,0.574,1.59,15.2,0.484,0.508,27.4,0.274
29.21,5.61,-9.62,-1.63,0.985,2.19,5.9,0.158,0.396,12.6,0.266
29.68,11.15,6.17,-4.56,-0.8,1.32,23.2,0.1,0.66,19.9,0.148
35.39,2.38,-6.18,-1.88,-1.377,1.33,19.9,0.165,0.427,29.0,0.211
33.08,15.38,-7.73,-1.91,0.04,1.75,10.3,0.409,0.468,12.2,0.051
32.2,12.16,6.78,-1.8,0.424,2.34,18.9,0.306,0.271,30.7,0.106
33.45,5.18,9.42,-0.71,0.71,1.67,16.0,0.216,0.655,12.5,0.197
31.79,14.99,-5.8,3.49,-0.17,2.11,12.7,-0.318,0.522,34.6,0.275
33.8,7.28,9.63,0.3,1.181,2.19,14.4,0.001,0.286,11.6,0.184
30.6,6.84,-3.75,1.23,0.281,1.23,13.4,-0.347,0.157,37.6,0.127
31.72,8.37,0.05,0.79,1.442,2.35,9.6,0.179,0.509,6.6,0.334
34.62,8.07,6.48,3.73,0.643,2.02,14.0,0.171,0.492,41.4,0.395
32.8,11.88,-8.59,2.91,-0.238,1.61,9.1,0.025,0.841,44.5,0.241
33.23,2.68,-0.95,-2.9,0.043,1.66,6.3,-0.006,0.096,31.1,0.179
36.86,12.7,2.54,-3.32,0.98,1.47,10.3,0.012,0.379,28.6,0.351
36.58,11.63,-2.03,-3.49,0.281,2.09,8.6,0.436,0.679,32.1,0.271
30.33,3.36,7.57,0.47,-1.036,1.94,20.8,0.023,0.36,34.5,0.317
32.1,3.99,6.17,1.49,-0.035,2.39,12.8,0.26,0.823,6.6,0.091
31.54,3.96,-0.38,-3.53,0.165,1.7,17.1,-0.269,0.27,36.8,0.282
35.49,11.3,2.15,-0.46,-1.361,2.13,5.9,-0.009,0.418,32.6,0.352
34.82,14.13,9.93,-3.09,-0.437,1.78,21.0,-0.058,0.642,39.5,0.344
33.58,14.33,-8.0,-1.71,0.396,2.09,20.4,-0.06,0.774,21.1,0.275
32.24,10.7,3.51,2.39,0.05,2.12,10.6,-0.455,0.344,27.9,0.123
36.71,6.45,-3.83,-0.17,-1.346,2.4,7.0,-0.348,0.231,34.2,0.163
27.49,7.69,9.81,-3.86,0.383,1.71,23.7,0.034,0.11,6.7,0.274
35.78,8.38,-1.07,-4.47,1.147,1.5,24.5,0.304,0.552,21.1,0.229
29.63,15.67,1.49,-2.07,1.245,2.49,21.4,-0.077,0.735,47.9,0.335
27.66,5.16,-7.31,-1.81,-0.844,1.85,18.2,0.369,0.334,47.5,0.178
34.06,4.35,8.2,1.69,0.488,1.5,15.2,0.462,0.669,14.4,0.063
32.65,3.36,1.18,4.22,0.486,2.04,24.9,-0.273,0.19,9.1,0.349
34.37,3.09,-3.06,2.39,0.113,1.96,20.9,-0.476,0.423,14.3,0.152
30.85,8.66,-4.91,-3.23,-1.133,2.17,16.4,0.045,0.57,46.5,0.22
34.41,14.94,2.2,-0.75,-0.174,1.64,24.0,0.398,0.112,34.9,0.192
32.52,11.09,8.86,3.91,-1.203,2.22,11.0,-0.227,0.434,36.5,0.071
32.91,13.47,-5.93,-0.13,-0.151,1.23,24.9,0.091,0.625,10.6,0.192
33.65,15.96,9.42,2.71,-1.414,1.4,24.2,0.134,0.825,38.7,0.251
33.46,7.47,6.38,-3.83,1.172,1.74,14.0,-0.377,0.647,49.5,0.195
36.53,2.15,9.95,2.47,1.246,1.56,21.2,0.422,0.158,43.2,0.095
33.81,15.71,-4.63,0.88,-1.381,2.37,9.2,-0.062,0.389,14.9,0.197
30.59,12.4,-8.12,3.64,0.343,1.63,17.7,-0.224,0.373,17.3,0.059
28.65,5.54,7.17,-4.37,-0.588,1.71,12.2,0.382,0.162,41.4,0.335
28.11,7.46,-0.21,-3.72,-0.845,1.94,20.6,-0.143,0.774,22.2,0.264
30.36,10.22,-6.84,-3.17,0.556,1.69,22.6,0.312,0.289,7.0,0.126
35.6,13.13,6.29,-1.77,1.418,2.17,11.7,-0.436,0.628,14.4,0.378
36.7,12.95,8.51,-2.44,0.148,1.83,8.6,0.411,0.233,5.0,0.214
29.43,5.37,-4.95,-1.39,-0.366,2.16,6.7,0.187,0.284,42.3,0.102
27.94,5.75,5.63,-0.42,0.051,1.97,11.3,-0.436,0.75,5.4,0.055
30.24,5.52,-0.09,-0.65,-1.216,1.45,19.0,0.304,0.452,7.7,0.303
32.38,15.52,-8.28,-2.94,-1.247,1.32,6.3,-0.271,0.435,23.6,0.271
36.47,2.34,5.97,-4.22,-0.132,1.26,18.4,0.131,0.306,18.6,0.166
31.56,2.87,2.85,1.52,-1.493,2.32,21.4,0.157,0.246,41.4,0.075
36.44,4.62,4.86,-4.88,-1.4,1.44,6.1,0.459,0.395,20.1,0.276
36.44,14.76,-9.62,-1.74,0.993,1.42,19.8,-0.404,0.681,6.2,0.193
27.39,6.51,-4.88,2.39,0.199,1.22,24.7,-0.098,0.764,14.3,0.309
28.43,4.02,-7.27,-4.63,1.474,1.5,24.5,-0.37,0.582,7.1,0.182
33.57,3.46,3.27,1.14,-1.361,1.3,20.2,-0.244,0.295,15.1,0.085
29.3,4.55,-6.37,-1.21,1.419,2.24,8.2,0.233,0.253,42.5,0.194
29.86,3.89,-3.91,0.01,-0.605,2.25,17.2,-0.072,0.054,16.9,0.229
31.32,5.85,4.91,2.3,0.25,1.66,13.7,-0.046,0.586,33.1,0.353
29.45,11.32,1.0,1.25,-0.968,1.81,9.6,-0.095,0.67,20.1,0.112
30.86,15.46,-2.58,-1.67,1.041,1.55,20.3,-0.11,0.176,40.4,0.355
32.14,10.73,-1.67,-2.0,-0.7,2.22,12.4,-0.251,0.729,36.4,0.106
35.81,12.93,8.98,4.24,-0.319,2.14,18.3,-0.162,0.499,36.4,0.295
31.11,12.71,7.61,0.77,1.165,2.17,8.1,-0.297,0.779,39.0,0.186
36.27,4.23,-7.93,-0.25,-1.03,1.79,17.9,0.434,0.811,38.5,0.241
